"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"100R";"RESISTOR0603";"R0603";"R1, R2";"";"";
"2";"100nF";"CAPC0603";"C0603";"C1, C3";"";"";
"4";"10K";"RESISTOR0603";"R0603";"R3, R4, R5, R6";"";"";
"2";"10uF";"CAPC0603";"C0603";"C2, C4";"";"";
"1";"10uH";"IND-YJYCOIN-YNR4062";"YJYCOIN-YNR4062";"L1";"";"";
"1";"13K";"RESISTOR0603";"R0603";"R7";"";"";
"1";"4.3K";"RESISTOR0603";"R0603";"R8";"";"";
"1";"47pF";"CAPC0603";"C0603";"C5";"";"";
"2";"AO3400";"MOSFET-NCHSOT23-3";"SOT23-3";"Q1, Q2";"";"";
"1";"BOOT";"HEADER-1X02-2.54";"1X02-2.54";"X5";"";"";
"1";"ESP32-PICO-MINI-02";"ESP32-PICO-MINI-02";"ESP32-PICO-MINI-02";"U1";"";"";
"2";"JK-SMD300L-24";"PTCJK-SMD300";"JK-SMD300";"F1, F2";"";"";
"1";"L1";"XKB-DC-005-5A-2.0";"XKB-DC-005-5A-2.0";"X2";"";"";
"1";"L2";"XKB-DC-005-5A-2.0";"XKB-DC-005-5A-2.0";"X3";"";"";
"1";"LGS5145";"LEGEND-SI-LGS5145";"SOT23-6";"U$3";"";"";
"1";"PMEG6020ER";"DIODE-SCHOTTKYSOD123FL";"SOD-123FL";"D1";"304020028";"";
"1";"POWER";"XKB-DC-005-5A-2.0";"XKB-DC-005-5A-2.0";"J1";"";"";
"1";"PROG";"HEADER-FTDI232";"FTDI232-1X06";"X1";"";"";
"1";"RESET";"HEADER-1X02-2.54";"1X02-2.54";"X6";"";"";
